                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.58081,                 2.7325,                 1.0076,                 0.8726,                0.77595,                0.82828,                 0.7354,                0.46433,                0.98158,                0.86944,             0.00019452,             0.00019452,             0.00019452
                      1,                0.57539,                  0.997,                0.96075,                0.88132,                0.88909,                0.95743,                0.85351,                 0.4655,                0.61461,                0.85979,              0.0003583,              0.0003583,              0.0003583
                      2,                0.58315,                0.79501,                0.97004,                 0.8625,                0.86351,                0.93445,                0.82762,                0.50592,                 0.6531,                0.90205,             0.00048974,             0.00048974,             0.00048974
                      3,                0.57342,                0.73506,                0.96374,                0.91203,                0.89127,                0.95959,                0.84745,                0.46559,                0.55599,                0.87053,             0.00044247,             0.00044247,             0.00044247
                      4,                0.57075,                0.65261,                0.97102,                0.91623,                0.93416,                0.96094,                0.86536,                0.44329,                 0.4883,                0.86104,             0.00044247,             0.00044247,             0.00044247
                      5,                0.52915,                0.57339,                0.94641,                0.96398,                0.95001,                  0.984,                0.90654,                0.39381,                 0.3852,                0.84011,             0.00039396,             0.00039396,             0.00039396
                      6,                0.51563,                0.52218,                 0.9446,                0.94466,                0.96784,                0.98356,                0.91468,                0.37635,                0.36849,                0.83435,             0.00034545,             0.00034545,             0.00034545
                      7,                0.49538,                0.48481,                0.93714,                 0.9744,                0.96364,                0.98998,                0.91972,                0.35292,                0.32105,                0.82858,             0.00029694,             0.00029694,             0.00029694
                      8,                0.47453,                0.44825,                0.93309,                0.98001,                0.99026,                0.99396,                0.93627,                0.35743,                0.26345,                0.83009,             0.00024843,             0.00024843,             0.00024843
                      9,                0.45905,                0.40063,                0.92587,                0.98855,                0.99169,                0.99449,                0.94348,                 0.3414,                 0.2423,                0.81811,             0.00019992,             0.00019992,             0.00019992
                     10,                0.43748,                0.36843,                0.91471,                0.98882,                0.98732,                0.99324,                 0.9473,                0.32489,                 0.2329,                0.81438,             0.00015141,             0.00015141,             0.00015141
                     11,                0.41371,                 0.3423,                0.91195,                0.97629,                0.98961,                0.99378,                0.94573,                0.30987,                0.21696,                 0.8171,              0.0001029,              0.0001029,              0.0001029
