                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.5792,                  2.674,                 1.0042,                0.91631,                0.92914,                0.96126,                0.86188,                0.43496,                 0.7876,                0.85207,             0.00022062,             0.00022062,             0.00022062
                      1,                0.58039,                0.94524,                0.97259,                0.93014,                0.86795,                0.94372,                0.83675,                0.43944,                0.64983,                0.86207,             0.00040641,             0.00040641,             0.00040641
                      2,                0.59256,                0.80716,                0.98195,                0.92838,                0.92811,                0.96196,                0.84928,                0.44765,                0.53292,                0.86843,             0.00055552,             0.00055552,             0.00055552
                      3,                0.59621,                0.72977,                0.99162,                0.92947,                0.96103,                0.96894,                0.87539,                0.43163,                0.48607,                0.85618,             0.00050192,             0.00050192,             0.00050192
                      4,                0.58672,                0.65167,                0.98307,                0.94499,                0.94576,                0.98458,                0.89158,                0.42967,                0.44306,                0.85422,             0.00050192,             0.00050192,             0.00050192
                      5,                0.56584,                0.58616,                0.97128,                0.95766,                0.94068,                0.98422,                 0.9016,                 0.3874,                0.39825,                0.84064,             0.00044689,             0.00044689,             0.00044689
                      6,                0.52181,                0.51939,                0.95988,                0.96865,                0.98114,                 0.9921,                0.91959,                0.37375,                0.36783,                0.83011,             0.00039186,             0.00039186,             0.00039186
                      7,                0.52835,                0.48544,                0.95976,                0.97045,                0.98777,                0.99176,                0.91996,                0.35258,                0.30564,                0.82918,             0.00033683,             0.00033683,             0.00033683
                      8,                0.46891,                0.42856,                0.92879,                0.99039,                0.98669,                0.99486,                0.94143,                0.32577,                0.24443,                0.81259,             0.00028181,             0.00028181,             0.00028181
                      9,                0.45868,                0.40084,                0.92959,                0.99465,                0.99652,                0.99496,                0.93854,                0.32985,                0.23621,                0.81812,             0.00022678,             0.00022678,             0.00022678
                     10,                0.43997,                 0.3688,                0.92914,                0.99623,                      1,                  0.995,                0.94946,                0.29892,                0.20905,                0.80633,             0.00017175,             0.00017175,             0.00017175
                     11,                0.41448,                0.33255,                0.91994,                 0.9971,                0.99862,                0.99499,                0.95919,                 0.2802,                0.19895,                0.80202,             0.00011672,             0.00011672,             0.00011672
